"ASV_ID","Domain","Phylum","Class","Order","Family","Genus","Species","Confidence","Unique.ID"
"8a8e9bc3b661b4a3d1806f1734aac695","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Taeseokella","Arcticibacterium_luteifluviistationis",0.988366971,"Bacteria_Bacteroidota_Bacteroidia_Cytophagales_Spirosomaceae_Taeseokella"
"8a974293295b9c85cdffcbcc52e9bd16","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","","",0.999999982,"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_"
"8aa6abaadf5e6381700fd04ec055a7b9","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured","",0.999839131,"Bacteria_Planctomycetota_Planctomycetes_Pirellulales_Pirellulaceae_uncultured"
"8aa8b4d4992b8e29826d707d26d056f5","Bacteria","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","",0.999999376,"Bacteria_SAR324_clade(Marine_group_B)_SAR324_clade(Marine_group_B)_SAR324_clade(Marine_group_B)_SAR324_clade(Marine_group_B)_SAR324_clade(Marine_group_B)"
"8aafb1dda00a3a30610a5e22e7650ccb","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","",0.989565903,"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Pseudoalteromonadaceae_Pseudoalteromonas"
"8ab8218be4dd6df0ace936c997dde3a1","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola","",0.973378088,"Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Crocinitomicaceae_Fluviicola"
"8ac278a810734fc5c8ba8710dd0eda76","Bacteria","Nitrospinota","Nitrospinia","Nitrospinales","Nitrospinaceae","Nitrospina","uncultured_organism",0.912214618,"Bacteria_Nitrospinota_Nitrospinia_Nitrospinales_Nitrospinaceae_Nitrospina"
"8ac4cce57355553b57de230eddf4aa12","Bacteria","Proteobacteria","Gammaproteobacteria","EPR3968-O8a-Bc78","EPR3968-O8a-Bc78","EPR3968-O8a-Bc78","uncultured_gamma",0.999942556,"Bacteria_Proteobacteria_Gammaproteobacteria_EPR3968-O8a-Bc78_EPR3968-O8a-Bc78_EPR3968-O8a-Bc78"
"8ac6803eab203caa383d84fac25478b9","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta","marine_metagenome",0.999992341,"Bacteria_Spirochaetota_Spirochaetia_Spirochaetales_Spirochaetaceae_Spirochaeta"
"8acc4abbba3181e4afc4bb7c11c2af2d","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Ellin6067","",0.999999979,"Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Nitrosomonadaceae_Ellin6067"
"8ad57574be964e1d9ea52091a3d9d1b3","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","uncultured","",0.988129755,"Bacteria_Campilobacterota_Campylobacteria_Campylobacterales_Arcobacteraceae_uncultured"
"8ae1e44d8be77fc3f071b5906f3d7861","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","Sva0996_marine_group","",0.999965737,"Bacteria_Actinobacteriota_Acidimicrobiia_Microtrichales_Microtrichaceae_Sva0996_marine_group"
"8aeb0e1793e5c5c7a696fe8661c18b69","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","uncultured","uncultured_Bacteroidales",0.995114992,"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Paludibacteraceae_uncultured"
"8af89026fa2fb6941640b038af10559b","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","uncultured","",0.99999999,"Bacteria_Proteobacteria_Gammaproteobacteria_Gammaproteobacteria_Incertae_Sedis_Unknown_Family_uncultured"
"8af95993af7da992553e6b4e4cf2a138","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Polaribacter","",0.999987964,"Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_Polaribacter"
"8b063ee9907062a511ff8ae1e5397ed3","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter","",0.997314549,"Bacteria_Bdellovibrionota_Bdellovibrionia_Bacteriovoracales_Bacteriovoracaceae_Peredibacter"
"8b13049d8dec7eb536b5ba96ef45f54d","Bacteria","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","",1,"Bacteria_SAR324_clade(Marine_group_B)_SAR324_clade(Marine_group_B)_SAR324_clade(Marine_group_B)_SAR324_clade(Marine_group_B)_SAR324_clade(Marine_group_B)"
"8b156ae3fc20bf906681a56ad64b1d53","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5_marine_group","",0.992255209,"Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_NS5_marine_group"
"8b179dccdf047d4ba5cceca2e9504e0f","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sulfitobacter","",0.959666302,"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Sulfitobacter"
"8b2dadca5b9c4c2599f0a1ff673fe96f","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","",0.959419662,"Bacteria_Bacteroidota_Bacteroidia_Chitinophagales_Saprospiraceae_uncultured"
"8b2ebd2b3cea2028002d9717e8c4e470","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SM2D12","SM2D12","uncultured_bacterium",0.999467191,"Bacteria_Proteobacteria_Alphaproteobacteria_Rickettsiales_SM2D12_SM2D12"
"8b3c863c290fc14c790ddd23774dd90c","Bacteria","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","",0.948811977,"Bacteria_SAR324_clade(Marine_group_B)_SAR324_clade(Marine_group_B)_SAR324_clade(Marine_group_B)_SAR324_clade(Marine_group_B)_SAR324_clade(Marine_group_B)"
"8b4b8846abaccb5d4796766098d1f7a9","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacteraceae","",0.943567713,"Bacteria_Acidobacteriota_Vicinamibacteria_Vicinamibacterales_Vicinamibacteraceae_Vicinamibacteraceae"
