Cruise,StationID,SAMPLE_ID,Sample_Name_Final,Location,Depth_m,BottomDepth_m_,Date_yyyy_mm_dd_,Lat_dd_ddddN_,Lon_dd_ddddE_,Transect,Month,Year,Distance_from_glacier,Salinity_PSU,NO3_uM,NO2_uM,PO4_uM,NH3_uM,SiO4_uM,Temp_C,CTD.depth,Dis_O2_Conc,Turbidity_NTU,ChlA_ug_L,N2,rho,Upwelling.Classification
A2108,JS3,JS3_20,Jakeman_3_20_2021,Jakeman,20,130,8/8/21,76.42742,-81.05199,Jakeman_practice,August,2021,4.657,31.82106456,0.36,0.02,0.57,NA,1.54,0.719244755,20,349.8900216,0.197370125,0.899887085,0.000301476,1025.604423,No upwelling
A2108,JS3,JS3_5,Jakeman_3_5_2021,Jakeman,5,130,8/8/21,76.42742,-81.05199,Jakeman_practice,August,2021,4.657,30.89594546,0,0.01,0.41,0.1,1.19,2.248701153,5,350.2945871,0.587770404,0.113470829,0.000950625,1024.695402,No upwelling
A2108,JS40b,JS40b_20,Jakeman_40b_20_2021,Jakeman,20,49,8/28/21,76.44554,-80.91896,Jakeman_out,August,2021,0.652,32.11347287,0.57,0,0.62,1.11,3.4,0.445811994,20,307.9790216,0.570171934,0.354394393,0.000213758,1025.854197,No upwelling
A2108,JS40b,JS40b_5,Jakeman_40b_5_2021,Jakeman,5,49,8/28/21,76.44554,-80.91896,Jakeman_out,August,2021,0.652,31.26007369,0.57,0.01,0.44,0.76,2.56,1.954993277,5,309.257725,2.797477029,0.726048325,0.000176034,1025.007142,No upwelling
A2108,JS 41b,JS41b_20,Jakeman_41b_20_2021,Jakeman,20,62,8/28/21,76.44192,-80.93029,Jakeman_out,August,2021,1.14,31.8080186,1.82,0.03,0.72,1.27,3.68,1.072257764,20,317.5607751,0.869598389,0.460146586,0.000449241,1025.573818,No upwelling
A2108,JS 41b,JS41b_5,Jakeman_41b_5_2021,Jakeman,5,62,8/28/21,76.44192,-80.93029,Jakeman_out,August,2021,1.14,31.30293727,0.43,0.01,0.44,0,2.54,1.932057583,5,319.6143976,2.058244647,0.901655949,0.000136336,1025.043014,No upwelling
A2108,JS42b,JS42b_5,Jakeman_42b_5_2021,Jakeman,5,60,8/28/21,76.43834,-80.94122,Jakeman_out,August,2021,1.624,31.28681979,0.36,0.01,0.36,0.13,1.55,1.981302897,5,323.689879,2.389971184,0.852752917,2.76E-05,1025.026741,No upwelling
A2108,JS44b,JS44b_20,Jakeman_44b_20_2021,Jakeman,20,46,8/28/21,76.43106,-80.96379,Jakeman_out,August,2021,2.621,31.31033844,0.38,0,0.31,0,0.99,1.968348185,20,327.0856689,0.615889116,0.773846019,1.57E-05,1025.117416,No upwelling
A2108,JS44b,JS44b_5,Jakeman_44b_5_2021,Jakeman,5,46,8/28/21,76.43106,-80.96379,Jakeman_out,August,2021,2.621,31.30220475,0.64,0.05,0.46,0.01,2.39,2.00738352,5,326.5457575,1.38906398,0.915190726,4.98E-05,1025.037245,No upwelling
A2108,JS46b,JS46b_20,Jakeman_46b_20_2021,Jakeman,20,60,8/28/21,76.4231,-80.98564,Jakeman_out,August,2021,3.667,31.37853525,0.66,0.01,0.46,0.07,2.54,1.750176285,20,327.9188897,0.546507864,0.684570313,8.26E-05,1025.186852,No upwelling
